Month,Employment 000s,Unemployment rate %
01-03-08,2182.0,3.8
01-06-08,2181.0,3.8
01-09-08,2182.0,4.0
01-12-08,2195.0,4.4
01-03-09,2156.0,5.0
01-06-09,2157.0,5.7
01-09-09,2137.0,6.1
01-12-09,2139.0,6.5
01-03-10,2146.0,5.9
01-06-10,2151.0,6.5
01-09-10,2169.0,6.0
01-12-10,2161.0,6.2
01-03-11,2181.0,6.0
01-06-11,2189.0,6.0
01-09-11,2192.0,5.9
01-12-11,2192.0,6.0
01-03-12,2194.0,6.3
01-06-12,2197.0,6.3
01-09-12,2188.0,6.7
01-12-12,2195.0,6.2
01-03-13,2198.0,5.7
01-06-13,2209.0,5.9
01-09-13,2242.0,5.8
01-12-13,2259.0,5.6
01-03-14,2280.0,5.6
01-06-14,2288.0,5.2
01-09-14,2313.0,5.2
01-12-14,2340.0,5.5
01-03-15,2354.0,5.5
01-06-15,2355.0,5.5
01-09-15,2346.0,5.6
01-12-15,2373.0,5.0
01-03-16,2402.0,5.2
01-06-16,2461.0,5.0
01-09-16,2489.0,4.9
01-12-16,2511.0,5.3
01-03-17,2539.0,4.9
01-06-17,2537.0,4.8
01-09-17,2592.0,4.6
01-12-17,2603.0,4.5
01-03-18,2618.0,4.4
01-06-18,2631.0,4.5
