Month,Real TWI
01-01-70,60.34
01-02-70,60.54
01-03-70,60.71
01-04-70,60.66
01-05-70,60.86
01-06-70,60.77
01-07-70,60.53
01-08-70,60.55
01-09-70,60.74
01-10-70,62.38
01-11-70,61.57
01-12-70,62.04
01-01-71,62.29
01-02-71,62.65
01-03-71,62.66
01-04-71,62.87
01-05-71,62.85
01-06-71,62.83
01-07-71,62.89
01-08-71,62.82
01-09-71,62.84
01-10-71,63.14
01-11-71,63.22
01-12-71,63.44
01-01-72,63.64
01-02-72,63.32
01-03-72,63
01-04-72,63.43
01-05-72,63.33
01-06-72,63.38
01-07-72,64.66
01-08-72,64.23
01-09-72,64.25
01-10-72,64.5
01-11-72,64.93
01-12-72,64.94
01-01-73,64.3
01-02-73,65.49
01-03-73,66.26
01-04-73,66.82
01-05-73,65.9
01-06-73,65.25
01-07-73,66.28
01-08-73,66.57
01-09-73,71.32
01-10-73,72.73
01-11-73,72.9
01-12-73,72.41
01-01-74,71.67
01-02-74,71
01-03-74,71.17
01-04-74,70.74
01-05-74,70.71
01-06-74,70.57
01-07-74,70.58
01-08-74,70.79
01-09-74,69.78
01-10-74,65.85
01-11-74,65.66
01-12-74,65.49
01-01-75,65.26
01-02-75,65.11
01-03-75,65.07
01-04-75,65.04
01-05-75,64.62
01-06-75,64.7
01-07-75,65.1
01-08-75,58.41
01-09-75,55.93
01-10-75,55.94
01-11-75,56.1
01-12-75,56.28
01-01-76,56.59
01-02-76,57
01-03-76,57.4
01-04-76,57.56
01-05-76,57.88
01-06-76,58.11
01-07-76,58.6
01-08-76,58.85
01-09-76,58.54
01-10-76,58.08
01-11-76,57.69
01-12-76,56.63
01-01-77,57.24
01-02-77,57.12
01-03-77,57.18
01-04-77,57.48
01-05-77,58.04
01-06-77,58.41
01-07-77,58.81
01-08-77,59.11
01-09-77,59.44
01-10-77,59.58
01-11-77,59.72
01-12-77,60.04
01-01-78,60.28
01-02-78,60.28
01-03-78,59.99
01-04-78,59.89
01-05-78,60.23
01-06-78,60.07
01-07-78,59.7
01-08-78,59.3
01-09-78,59.45
01-10-78,59.22
01-11-78,59.84
01-12-78,59.99
01-01-79,59.98
01-02-79,60.2
01-03-79,60.35
01-04-79,60.97
01-05-79,61.41
01-06-79,60.74
01-07-79,58.29
01-08-79,58.77
01-09-79,58.9
01-10-79,58.88
01-11-79,59.07
01-12-79,59.05
01-01-80,58.7
01-02-80,58.65
01-03-80,58.66
01-04-80,58.46
01-05-80,58.19
01-06-80,57.91
01-07-80,58.01
01-08-80,58.2
01-09-80,58.04
01-10-80,58.04
01-11-80,58.14
01-12-80,57.98
01-01-81,57.77
01-02-81,57.78
01-03-81,57.42
01-04-81,57.6
01-05-81,57.96
01-06-81,57.93
01-07-81,58.04
01-08-81,58.02
01-09-81,57.77
01-10-81,57.72
01-11-81,57.62
01-12-81,57.61
01-01-82,57.68
01-02-82,57.93
01-03-82,58.18
01-04-82,58.46
01-05-82,58.43
01-06-82,59.18
01-07-82,59.74
01-08-82,60.07
01-09-82,60.47
01-10-82,60.75
01-11-82,60.94
01-12-82,60.55
01-01-83,60.15
01-02-83,60.17
01-03-83,57.3
01-04-83,56.51
01-05-83,56.36
01-06-83,56.47
01-07-83,56.51
01-08-83,56.76
01-09-83,56.67
01-10-83,56.3
01-11-83,56.35
01-12-83,56.37
01-01-84,56.28
01-02-84,56.14
01-03-84,56.15
01-04-84,56.24
01-05-84,56.56
01-06-84,56.96
01-07-84,51.44
01-08-84,46.13
01-09-84,46.45
01-10-84,46.73
01-11-84,47.21
01-12-84,47.49
01-01-85,47.63
01-02-85,48.03
01-03-85,49.02
01-04-85,49.11
01-05-85,49.26
01-06-85,50.08
01-07-85,53.06
01-08-85,56.9
01-09-85,57.72
01-10-85,59.71
01-11-85,59.62
01-12-85,54.9
01-01-86,53.09
01-02-86,53.85
01-03-86,53
01-04-86,56.01
01-05-86,56.41
01-06-86,55.1
01-07-86,54.61
01-08-86,51.57
01-09-86,50.16
01-10-86,54.1
01-11-86,57.43
01-12-86,58.07
01-01-87,59.7
01-02-87,60.56
01-03-87,61.59
01-04-87,61.87
01-05-87,61.71
01-06-87,63.85
01-07-87,65.93
01-08-87,64.98
01-09-87,68.47
01-10-87,69.98
01-11-87,66.32
01-12-87,67.75
01-01-88,69.34
01-02-88,70.5
01-03-88,69.41
01-04-88,68.48
01-05-88,70.9
01-06-88,72.51
01-07-88,70.62
01-08-88,68.97
01-09-88,65.34
01-10-88,64.66
01-11-88,64.75
01-12-88,64.24
01-01-89,63.73
01-02-89,63.28
01-03-89,64.24
01-04-89,63.88
01-05-89,64.9
01-06-89,62.89
01-07-89,62.52
01-08-89,64.98
01-09-89,65.87
01-10-89,64.84
01-11-89,64.94
01-12-89,65.22
01-01-90,65.88
01-02-90,64.82
01-03-90,65.2
01-04-90,64.71
01-05-90,63.59
01-06-90,64.37
01-07-90,64.24
01-08-90,65.49
01-09-90,65.13
01-10-90,63.05
01-11-90,63.17
01-12-90,62.5
01-01-91,62.07
01-02-91,62.13
01-03-91,63.31
01-04-91,63.23
01-05-91,63.15
01-06-91,62.98
01-07-91,61.7
01-08-91,61.68
01-09-91,61.68
01-10-91,59.46
01-11-91,58.72
01-12-91,57.46
01-01-92,56.54
01-02-92,56.89
01-03-92,58.17
01-04-92,57.34
01-05-92,56.18
01-06-92,56.18
01-07-92,56.18
01-08-92,55.86
01-09-92,56.01
01-10-92,56.73
01-11-92,56.22
01-12-92,55.75
01-01-93,56
01-02-93,56.14
01-03-93,56.73
01-04-93,56.61
01-05-93,57.07
01-06-93,57.21
01-07-93,58.4
01-08-93,58.6
01-09-93,58.82
01-10-93,59.01
01-11-93,58.68
01-12-93,59.41
01-01-94,60.53
01-02-94,60.74
01-03-94,60.13
01-04-94,59.59
01-05-94,60.64
01-06-94,60.93
01-07-94,61.04
01-08-94,61.08
01-09-94,60.97
01-10-94,61.31
01-11-94,62.22
01-12-94,63.88
01-01-95,64.07
01-02-95,63.47
01-03-95,63.49
01-04-95,64.12
01-05-95,64.63
01-06-95,64.75
01-07-95,65.23
01-08-95,64.58
01-09-95,64.87
01-10-95,64.93
01-11-95,64.74
01-12-95,64.82
01-01-96,66.53
01-02-96,67.59
01-03-96,67.84
01-04-96,67.95
01-05-96,68.14
01-06-96,67.56
01-07-96,68.85
01-08-96,68.62
01-09-96,69.39
01-10-96,70.21
01-11-96,70.73
01-12-96,70.71
01-01-97,71.45
01-02-97,71.72
01-03-97,72.23
01-04-97,71.95
01-05-97,71.35
01-06-97,70.87
01-07-97,69.16
01-08-97,68.35
01-09-97,68.57
01-10-97,69.09
01-11-97,68.95
01-12-97,68.71
01-01-98,69.26
01-02-98,67.9
01-03-98,66.69
01-04-98,64.52
01-05-98,63.68
01-06-98,62.08
01-07-98,62.68
01-08-98,61.79
01-09-98,60.76
01-10-98,60.21
01-11-98,60.81
01-12-98,59.37
01-01-99,60.7
01-02-99,61.78
01-03-99,61.36
01-04-99,62.25
01-05-99,63.15
01-06-99,61.1
01-07-99,60.36
01-08-99,60.02
01-09-99,59.03
01-10-99,57.64
01-11-99,57.78
01-12-99,57.27
01-01-00,57.52
01-02-00,56.24
01-03-00,56.61
01-04-00,57.78
01-05-00,56.17
01-06-00,55.14
01-07-00,54.49
01-08-00,53.25
01-09-00,50.89
01-10-00,49.82
01-11-00,50
01-12-00,53.08
01-01-01,54.78
01-02-01,54.11
01-03-01,53.47
01-04-01,52.44
01-05-01,53.9
01-06-01,53.4
01-07-01,53.02
01-08-01,54.75
01-09-01,53.6
01-10-01,53.37
01-11-01,53.64
01-12-01,53.92
01-01-02,55.48
01-02-02,55
01-03-02,56.2
01-04-02,57.2
01-05-02,58.41
01-06-02,61.01
01-07-02,59.51
01-08-02,57.94
01-09-02,58.73
01-10-02,60.42
01-11-02,61.69
01-12-02,63.11
01-01-03,65.51
01-02-03,66.64
01-03-03,66.44
01-04-03,65.9
01-05-03,66.81
01-06-03,66.72
01-07-03,67.7
01-08-03,67.8
01-09-03,67.26
01-10-03,67.51
01-11-03,69.97
01-12-03,70.79
01-01-04,72.11
01-02-04,73.79
01-03-04,71.75
01-04-04,69.92
01-05-04,68.64
01-06-04,70.03
01-07-04,71.28
01-08-04,72.58
01-09-04,73.25
01-10-04,74.69
01-11-04,74.38
01-12-04,75.5
01-01-05,74.7
01-02-05,75.42
01-03-05,76.66
01-04-05,76.37
01-05-05,76.92
01-06-05,76.83
01-07-05,74.65
01-08-05,75.65
01-09-05,76.06
01-10-05,76.82
01-11-05,77.15
01-12-05,77.49
01-01-06,75.2
01-02-06,74.12
01-03-06,70.32
01-04-06,68.07
01-05-06,67.72
01-06-06,67.65
01-07-06,67.26
01-08-06,68.56
01-09-06,71.23
01-10-06,72.15
01-11-06,71.84
01-12-06,73.12
01-01-07,73.97
01-02-07,73.67
01-03-07,73.56
01-04-07,76.36
01-05-07,76.2
01-06-07,78.44
01-07-07,80.25
01-08-07,75.03
01-09-07,73.14
01-10-07,75.76
01-11-07,75.04
01-12-07,76.4
01-01-08,75.88
01-02-08,77.1
01-03-08,76.08
01-04-08,74.73
01-05-08,73.61
01-06-08,72.24
01-07-08,71.39
01-08-08,70.02
01-09-08,68.71
01-10-08,66.25
01-11-08,62.95
01-12-08,61.05
01-01-09,60.47
01-02-09,57.75
01-03-09,59.6
01-04-09,62.39
01-05-09,63.28
01-06-09,65.97
01-07-09,66.63
01-08-09,69.05
01-09-09,70.81
01-10-09,72.67
01-11-09,71.04
01-12-09,70.04
01-01-10,70.94
01-02-10,69.06
01-03-10,69.1
01-04-10,69.53
01-05-10,70.19
01-06-10,70.22
01-07-10,70.79
01-08-10,70.22
01-09-10,70.39
01-10-10,70.93
01-11-10,73.3
01-12-10,71.96
01-01-11,72.87
01-02-11,71.91
01-03-11,69.37
01-04-11,72.22
01-05-11,72.72
01-06-11,74.65
01-07-11,76.81
01-08-11,76.34
01-09-11,75.35
01-10-11,73.39
01-11-11,71.88
01-12-11,71.88
01-01-12,74.05
01-02-12,76.03
01-03-12,75.46
01-04-12,75.59
01-05-12,72.7
01-06-12,73.66
01-07-12,74.73
01-08-12,75
01-09-12,75.04
01-10-12,75.05
01-11-12,74.84
01-12-12,75.61
01-01-13,76.19
01-02-13,77.14
01-03-13,76.64
01-04-13,78.27
01-05-13,77.36
01-06-13,74.9
01-07-13,75.64
01-08-13,76.28
01-09-13,77.65
01-10-13,78.62
01-11-13,78.27
01-12-13,78.69
01-01-14,79.61
01-02-14,79.29
01-03-14,81.24
01-04-14,81.53
01-05-14,81.29
01-06-14,81.36
01-07-14,81.78
01-08-14,79.8
01-09-14,78.35
01-10-14,76.57
01-11-14,77.19
01-12-14,77.92
01-01-15,77.91
01-02-15,76.75
01-03-15,77.66
01-04-15,78.5
01-05-15,75.79
01-06-15,72.29
01-07-15,69.77
01-08-15,69.7
01-09-15,68.22
01-10-15,71.07
01-11-15,70.43
01-12-15,72.08
01-01-16,70.77
01-02-16,71.19
01-03-16,71.02
01-04-16,71.68
01-05-16,71.76
01-06-16,74.06
01-07-16,75.1
01-08-16,75.53
01-09-16,76.49
01-10-16,75.47
01-11-16,76.49
01-12-16,76.74
01-01-17,77.23
01-02-17,77.59
01-03-17,75.54
01-04-17,74.95
01-05-17,74.41
01-06-17,76.78
01-07-17,77.27
01-08-17,75.91
01-09-17,74.67
01-10-17,73.49
01-11-17,71.73
01-12-17,71.97
01-01-18,73.3
01-02-18,73.53
01-03-18,73.33
01-04-18,73.5
01-05-18,71.6
01-06-18,72.03
